Filename,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
MoistureBalanceEMPDManager.cc,"""EMPD Surface Inside Face Water Vapor Density""",OutputProcessor::Unit::kg_m3,rvd.rv_surface,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::State,surf_name
MoistureBalanceEMPDManager.cc,"""EMPD Surface Layer Moisture Content""",OutputProcessor::Unit::kg_m3,rvd.u_surface_layer,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::State,surf_name
MoistureBalanceEMPDManager.cc,"""EMPD Deep Layer Moisture Content""",OutputProcessor::Unit::kg_m3,rvd.u_deep_layer,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::State,surf_name
MoistureBalanceEMPDManager.cc,"""EMPD Surface Layer Equivalent Relative Humidity""",OutputProcessor::Unit::Perc,rvd.RH_surface_layer,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::State,surf_name
MoistureBalanceEMPDManager.cc,"""EMPD Deep Layer Equivalent Relative Humidity""",OutputProcessor::Unit::Perc,rvd.RH_deep_layer,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::State,surf_name
MoistureBalanceEMPDManager.cc,"""EMPD Surface Layer Equivalent Humidity Ratio""",OutputProcessor::Unit::kgWater_kgDryAir,rvd.w_surface_layer,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::State,surf_name
MoistureBalanceEMPDManager.cc,"""EMPD Deep Layer Equivalent Humidity Ratio""",OutputProcessor::Unit::kgWater_kgDryAir,rvd.w_deep_layer,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::State,surf_name
MoistureBalanceEMPDManager.cc,"""EMPD Surface Moisture Flux to Zone""",OutputProcessor::Unit::kg_m2s,rvd.mass_flux_zone,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::State,surf_name
MoistureBalanceEMPDManager.cc,"""EMPD Deep Layer Moisture Flux""",OutputProcessor::Unit::kg_m2s,rvd.mass_flux_deep,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::State,surf_name
PondGroundHeatExchanger.cc,"""Pond Heat Exchanger Heat Transfer Rate""",OutputProcessor::Unit::W,this->HeatTransferRate,OutputProcessor::SOVTimeStepType::Plant,OutputProcessor::SOVStoreType::Average,this->Name
PondGroundHeatExchanger.cc,"""Pond Heat Exchanger Heat Transfer Energy""",OutputProcessor::Unit::J,this->Energy,OutputProcessor::SOVTimeStepType::Plant,OutputProcessor::SOVStoreType::Summed,this->Name
PondGroundHeatExchanger.cc,"""Pond Heat Exchanger Mass Flow Rate""",OutputProcessor::Unit::kg_s,this->MassFlowRate,OutputProcessor::SOVTimeStepType::Plant,OutputProcessor::SOVStoreType::Average,this->Name
PondGroundHeatExchanger.cc,"""Pond Heat Exchanger Inlet Temperature""",OutputProcessor::Unit::C,this->InletTemp,OutputProcessor::SOVTimeStepType::Plant,OutputProcessor::SOVStoreType::Average,this->Name
PondGroundHeatExchanger.cc,"""Pond Heat Exchanger Outlet Temperature""",OutputProcessor::Unit::C,this->OutletTemp,OutputProcessor::SOVTimeStepType::Plant,OutputProcessor::SOVStoreType::Average,this->Name
PondGroundHeatExchanger.cc,"""Pond Heat Exchanger Bulk Temperature""",OutputProcessor::Unit::C,this->PondTemp,OutputProcessor::SOVTimeStepType::Plant,OutputProcessor::SOVStoreType::Average,this->Name
PlantLoadProfile.cc,"""Plant Load Profile Mass Flow Rate""",OutputProcessor::Unit::kg_s,state.dataPlantLoadProfile->PlantProfile(ProfileNum).MassFlowRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataPlantLoadProfile->PlantProfile(ProfileNum).Name
PlantLoadProfile.cc,"""Plant Load Profile Heat Transfer Rate""",OutputProcessor::Unit::W,state.dataPlantLoadProfile->PlantProfile(ProfileNum).Power,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataPlantLoadProfile->PlantProfile(ProfileNum).Name
PlantLoadProfile.cc,"""Plant Load Profile Heat Transfer Energy""",OutputProcessor::Unit::J,state.dataPlantLoadProfile->PlantProfile(ProfileNum).Energy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataPlantLoadProfile->PlantProfile(ProfileNum).Name
PlantLoadProfile.cc,"""Plant Load Profile Heating Energy""",OutputProcessor::Unit::J,state.dataPlantLoadProfile->PlantProfile(ProfileNum).HeatingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataPlantLoadProfile->PlantProfile(ProfileNum).Name
PlantLoadProfile.cc,"""Plant Load Profile Cooling Energy""",OutputProcessor::Unit::J,state.dataPlantLoadProfile->PlantProfile(ProfileNum).CoolingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataPlantLoadProfile->PlantProfile(ProfileNum).Name
BaseboardElectric.cc,"""Baseboard Total Heating Energy""",OutputProcessor::Unit::J,thisBaseboard.Energy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,thisBaseboard.EquipName
BaseboardElectric.cc,"""Baseboard Total Heating Rate""",OutputProcessor::Unit::W,thisBaseboard.Power,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,thisBaseboard.EquipName
